x	44_NDMM_CTC	25_SMM_CTC	3_SMM_CTC	23_SMM_CTC	32_MGUS_CTC	8_SMM_CTC	34_SMM_CTC	33_SMM_CTC	10_SMM_CTC	12_SMM_CTC	17_SMM_CTC	9_SMM_CTC	29_NDMM_CTC	36_NDMM_CTC	6_SMM_CTC	20.1_SMM_CTC	11_SMM_CTC	14_SMM_CTC	28_SMM_CTC	40_SMM_CTC	42_MGUS_CTC	1_SMM_CTC	41_SMM_CTC	7_SMM_CTC	30_SMM_CTC	2_SMM_CTC	16_SMM_CTC	15_SMM_CTC	13_SMM_CTC	39_SMM_CTC	22_SMM_CTC	24_NDMM_CTC	43_MGUS_CTC	26_SMM_CTC	5_SMM_CTC	19_SMM_CTC	37_MGUS_CTC	4_SMM_CTC
17_SMM_CTC	0.5925844746805173	0.47405954584704973	0.35650289018994824	0.31599111847158523	0.3691132567868781	0.6507398949688862	0.5460128096163772	0.4094604883285988	0.5331729289028085	0.3762812350279394	1.0	0.5300267427494602	0.3974304985583101	0.4204517855210183	0.48254483478912197	0.3494338490398692	0.46143576686990345	0.5126816966167432	0.47373962493685134	0.537003799843271	0.5903434892803711	0.28694887086409876	0.5711777444777287	0.18210740325618383	0.22970581493506181	0.26454123125650525	0.4994233504053821	0.12059007954913303	0.39530843917519576	0.2043275250819373	0.12706182238044836	0.48260262301364765	0.3976845504757013	0.43417312286771226	0.2914584615286204	0.38930389745873883	0.3836380843135422	0.22854137870145605
9_SMM_CTC	0.49291059865561393	0.41677241821128735	0.43738823187862674	0.36435654751760593	0.4138266136885223	0.5506816571926768	0.636895878475976	0.5348666999371373	0.5542367480033881	0.42213535084132536	0.5300267427494602	1.0	0.41431933987811165	0.29188222928513624	0.4713093389317586	0.42209522627482016	0.5019363200993553	0.4435114893320815	0.4458098956781938	0.5027060262371316	0.5906224369645334	0.2521919770403587	0.4728877054880901	0.30326924252110216	0.20626498961708487	0.42631279093806673	0.49031326166751177	0.21490383482379777	0.4655978616042561	0.2567813634249212	0.31440728346790914	0.49125696582840495	0.498937283441984	0.47458156447614913	0.39306220619971044	0.4018351708393695	0.320546779592579	0.24746610939425112
29_NDMM_CTC	0.3123477356238832	0.33923443889571137	0.44354894294297165	0.33508220899157953	0.4441002155296503	0.4072159769298944	0.45600472812456894	0.3859057383391239	0.5408559186658188	0.4732331885666645	0.3974304985583101	0.41431933987811165	0.9999999999999998	0.31667059582478785	0.38914960286263195	0.4454363019129971	0.4768760284591661	0.3725354875569732	0.46751903190303956	0.46968516709567204	0.3980229723473226	0.23483424945698467	0.4530803174411986	0.2675299326435513	0.42446805794878495	0.2182802971757607	0.5077570841202245	0.17382089673737763	0.33213580282175803	0.3747477968591315	0.21275289183332258	0.45022483268270147	0.35697971696907765	0.3403542269335158	0.2111573921305319	0.3374022578460941	0.3170722768581249	0.25511496689428254
36_NDMM_CTC	0.28426224608993655	0.4142533573480284	0.1747579896896631	0.14404414229391405	0.20803616493995028	0.5330226007872454	0.49084756306895827	0.2571376813749323	0.4424826487706689	0.10726739093521895	0.4204517855210183	0.29188222928513624	0.31667059582478785	0.9999999999999998	0.03558833795727327	0.07392094215600227	0.36811229165428205	0.2284376719330504	0.4449292401239925	0.6135226993774007	0.3820312656597685	-0.10746137325816672	0.6937537251918964	-0.17474546512456074	0.24365733223656777	0.08582733945078101	0.28291247440597606	-0.24125037047057457	0.24225266426396516	0.09174764661968023	-0.2188170817031636	0.48859729516333666	0.08657921352024373	0.27054986730770614	0.05910126509155449	0.27130950225888273	0.20663617557590497	0.07506046861334931
6_SMM_CTC	0.4962574280474776	0.3663494339566353	0.44115938056584875	0.324797875669607	0.425499420002748	0.3645862750847357	0.3510069750869833	0.4045960990115436	0.4413393596699769	0.529155047403834	0.48254483478912197	0.4713093389317586	0.38914960286263195	0.03558833795727327	0.9999999999999999	0.5169623073394065	0.3615307670701679	0.4185156733181751	0.389926111628939	0.31960983399263604	0.4325962609032848	0.4703870030870397	0.2599152297391508	0.4229483336134821	0.27820584613960714	0.2305508307596325	0.44275349286190246	0.296227443766086	0.35482613939742313	0.2699302139971172	0.3632540108276862	0.3048478585698563	0.4900159167661692	0.3764588887807982	0.27549855516724453	0.3231747873558157	0.32264055604126857	0.2224708538192973
20.1_SMM_CTC	0.2964981640107446	0.23521873420906547	0.6610910786043446	0.3453258862702864	0.45984400069091347	0.2816187539338273	0.36218022167446745	0.5051207986436329	0.4483415727845809	0.6618401086648712	0.3494338490398692	0.42209522627482016	0.4454363019129971	0.07392094215600227	0.5169623073394065	0.9999999999999996	0.5122491693533543	0.323253495238463	0.575305661691633	0.41789292347295764	0.4168243357684869	0.3062031389262164	0.2930813629325157	0.5350550181408896	0.23566627720472172	0.3056758342046412	0.4812143089658367	0.450634910747419	0.5008725421873359	0.30781022325811097	0.42015812322013246	0.3086876945513361	0.47426861402524423	0.41110544300362917	0.33629423798400476	0.3416339903704585	0.20720890092561836	0.3911801794409855
11_SMM_CTC	0.40105378119773477	0.3841028927473974	0.4899933643569707	0.3938806378882354	0.43874183604037603	0.5134607751066377	0.5215300671775283	0.4841753743283798	0.5614501732388355	0.520999938862611	0.46143576686990345	0.5019363200993553	0.4768760284591661	0.36811229165428205	0.3615307670701679	0.5122491693533543	0.9999999999999998	0.37628332939126996	0.5801928047642404	0.6603962668395884	0.48189302483614205	0.17482979721750136	0.5203630235252369	0.32717696398385215	0.24792156786494735	0.2990125850289444	0.5038433681954693	0.2022063001426504	0.4561693929004598	0.29132044183233186	0.2579342209986828	0.5222360274156739	0.38288966494891746	0.4577362039228398	0.28234501647726196	0.4290388875426079	0.27839024360573367	0.29204011969290417
14_SMM_CTC	0.4927826821185538	0.40320341737550813	0.3304922157966577	0.2789549929332945	0.3754279456074264	0.4712555394796317	0.44166981407942046	0.35589782691331545	0.43787931674849584	0.34041141159381055	0.5126816966167432	0.4435114893320815	0.3725354875569732	0.2284376719330504	0.4185156733181751	0.323253495238463	0.37628332939126996	1.0	0.3410659378139845	0.37989957161462556	0.41696488155992484	0.3668619631003499	0.39820449898472043	0.24433640359398176	0.23339625126075902	0.24402253012626157	0.43937703597948985	0.1817325129308361	0.31006477585339104	0.26768130363912923	0.19871575570062627	0.4041278707873535	0.34301274583614816	0.36030348288379554	0.25276890414625974	0.30595076421276607	0.31851134880651794	0.1885315928931309
28_SMM_CTC	0.368244836435992	0.39323824655757833	0.543773530671335	0.31569962203847696	0.4652000365501276	0.4874718118320769	0.5218008170082599	0.4988565453054408	0.5496615416729769	0.4798502812422015	0.47373962493685134	0.4458098956781938	0.46751903190303956	0.4449292401239925	0.389926111628939	0.575305661691633	0.5801928047642404	0.3410659378139845	0.9999999999999997	0.6490306740413927	0.5020918491240325	0.11485578469451199	0.5846033050603215	0.26046540705934335	0.2934201031763509	0.1823785807648343	0.4106348698912615	0.1057422235186494	0.48988115506397295	0.2755568582613554	0.15307168662407034	0.4400598916800078	0.36429555484878684	0.46239755688294537	0.2364325231816259	0.39086835173732676	0.2342251014712381	0.3102340975881279
40_SMM_CTC	0.45590650580737696	0.5068469760181781	0.4291883494703338	0.31739393229000956	0.45005982058226784	0.653439347939127	0.6231629203234206	0.5052913244210324	0.6192413619033833	0.4671397471746066	0.537003799843271	0.5027060262371316	0.46968516709567204	0.6135226993774007	0.31960983399263604	0.41789292347295764	0.6603962668395884	0.37989957161462556	0.6490306740413927	1.0	0.5223306179299643	0.0835358075865173	0.7061106201683638	0.1368281771552919	0.3223712267528717	0.21857005448522387	0.47006729453639806	-0.005185054462761465	0.4344047019550756	0.27042912745398956	0.037659854363448715	0.5810574209372926	0.32000862004134045	0.4726818674859754	0.21301921870091348	0.42753266473035256	0.30507019411601244	0.24498809593525933
42_MGUS_CTC	0.49711343376649775	0.4712924509047762	0.4216012587252767	0.3591140475167544	0.43580325620068167	0.557618952076673	0.6541685345594526	0.5157776681941614	0.5460302670845656	0.3980735973510585	0.5903434892803711	0.5906224369645334	0.3980229723473226	0.3820312656597685	0.4325962609032848	0.4168243357684869	0.48189302483614205	0.41696488155992484	0.5020918491240325	0.5223306179299643	0.9999999999999999	0.2118114083340174	0.5809592272934511	0.25785490637570274	0.2241667125762957	0.37700490098000145	0.5154788278163369	0.17249809306503064	0.4749698220208852	0.21332796103473328	0.18481110961499123	0.4746883458374179	0.5337915125595634	0.4628152724793688	0.35110403983557836	0.44057150026000547	0.2760483543892206	0.27304214050406694
1_SMM_CTC	0.34863128515691344	0.23381961909650728	0.2910342195426292	0.24852396550005545	0.2215217386821513	0.15341944336970928	0.15756670007651358	0.234444998377067	0.20718420811310878	0.39282176296164584	0.28694887086409876	0.2521919770403587	0.23483424945698467	-0.10746137325816672	0.4703870030870397	0.3062031389262164	0.17482979721750136	0.3668619631003499	0.11485578469451199	0.0835358075865173	0.2118114083340174	1.0	0.01237996701627541	0.423014558850768	0.2254033369468694	0.18748035119406134	0.28433507280716974	0.37806972744226325	0.23340272681921237	0.19986624922219454	0.3382834393695508	0.15458295243359532	0.33524052855941966	0.1902735002251005	0.22467532516077693	0.2325812046158915	0.36752255256115834	0.16442484557309636
